Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Dotson, F.",PHI,6,28,4.7,11,0,2,22
"Varga, N.",PHI,4,34,8.5,14,1,2,22
"Blocksdale Jr., A.",PHI,3,29,9.7,18,0,2,22
"Vuxta, R.",PHI,2,16,8,13,0,2,22
"Torenson, S.",PHI,2,15,7.5,11,0,2,22
"Panda, F.",PHI,1,9,9,9,0,2,22
"Lim, W.",COL,3,59,19.7,25,0,2,22
"Bishop, J.",COL,3,58,19.3,29,1,2,22
"Owens, A.",COL,3,33,11,13,1,2,22
"Sauce, E.",COL,2,31,15.5,23,0,2,22
"Robertowski, G.",COL,2,14,7,9,0,2,22
"Arrow, R.",COL,1,11,11,11,0,2,22
"Vincent, M.",COL,1,3,3,3,0,2,22
