,Q,Score Type,Time Remaining,Play,HON,AZ
1,1,FG,11:45,45 yd FG by Venus Powers,3,0
2,1,FG,9:17,19 yd FG by J.J. Jay-Jaymison,3,3
4,2,TD,12:32,Mathias Hanyadi 1 yd run. (J.J. Jay-Jaymison kick),3,10
5,2,FG,8:09,45 yd FG by Venus Powers,6,10
6,2,TD,0:56,Mathias Hanyadi 13 yd run. (J.J. Jay-Jaymison kick),6,17
8,3,TD,11:44,Thomas Passmann 3 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),6,24
9,3,FG,6:11,31 yd FG by J.J. Jay-Jaymison,6,27
10,3,TD,1:32,Mathias Hanyadi 36 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),6,34
12,4,TD,13:37,Jed Podolak 21 yd pass from Luke Skywalker (C). (Venus Powers kick),13,34
13,4,FG,3:43,38 yd FG by J.J. Jay-Jaymison,13,37
14,4,FG,0:11,41 yd FG by J.J. Jay-Jaymison,13,40
