,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,TD,8:35,Thjalfi Halvorsen 5 yd pass from Borkus Maximus III. (Beat Meoff XP no good),0,6
2,1,TD,3:58,Vladimir Fyodorovich 15 yd pass from Borkus Maximus III. (Beat Meoff kick),0,13
3,1,FG,0:42,36 yd FG by Beat Meoff,0,16
5,2,FG,12:48,45 yd FG by None Forfeit,3,16
6,2,TD,7:42,Aksel Danielsson 2 yd run. (Beat Meoff kick),3,23
8,3,FG,10:55,35 yd FG by Beat Meoff,3,26
9,3,TD,3:23,Aksel Danielsson 1 yd run. (Beat Meoff kick),3,33
10,3,TD,0:00,Brad Pennington 28 yd pass from Ryan Applehort. (None Forfeit kick),10,33
12,4,FG,9:31,41 yd FG by Beat Meoff,10,36
13,4,TD,2:36,Thomas Carrasco 2 yd run. (None Forfeit kick),17,36
