Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Fyodorovich, V.",NO,8,107,13.4,45,1,11,13
"Hasselhoff, F.",NO,7,107,15.3,31,0,11,13
"DiMirio, P.",NO,5,31,6.2,9,0,11,13
"Halvorsen, T.",NO,4,38,9.5,13,1,11,13
"Swift, T.",NO,4,29,7.2,13,0,11,13
"Wright, R.",NO,2,26,13,21,0,11,13
"Gore, B.",NO,2,4,2,3,0,11,13
"Pennington, B.",YKW,5,96,19.2,36,1,11,13
"Wizardry, D.",YKW,4,18,4.5,8,0,11,13
"Helanen, T.",YKW,3,14,4.7,8,0,11,13
"Carrasco, T.",YKW,2,19,9.5,13,0,11,13
"Pitcher, A.",YKW,2,11,5.5,8,0,11,13
"Parker, J.",YKW,1,9,9,9,0,11,13
"Peterson, T.",YKW,1,4,4,4,0,11,13
