,Q,Score Type,Time Remaining,Play,OCO,BAL
1,1,FG,12:06,43 yd FG by Al Sims,3,0
2,1,FG,9:23,43 yd FG by Al Sims,6,0
3,1,FG,4:54,37 yd FG by Turk Turkleton,6,3
4,1,TD,2:15,Robert Phelps 2 yd pass from Mike Boss. (Al Sims kick),13,3
6,2,TD,13:38,Robert Phelps 15 yd pass from Mike Boss. (Al Sims kick),20,3
7,2,TD,7:44,Leroy Jenkins 2 yd run. (Al Sims kick),27,3
8,2,TD,0:10,None Stormblessed 17 yd pass from Scrub Kyubee. (Turk Turkleton kick),27,10
10,3,TD,10:39,Robert Phelps 22 yd pass from Mike Boss. (Al Sims kick),34,10
11,3,TD,4:13,Bradley Westfield 15 yd pass from Mike Boss. (Al Sims kick),41,10
13,4,TD,14:36,Nate Atasuke 9 yd pass from Mike Boss. (Al Sims kick),48,10
14,4,FG,9:03,30 yd FG by Turk Turkleton,48,13
15,4,FG,7:11,24 yd FG by Turk Turkleton,48,16
16,4,TD,3:14,Julian O'Sullivan 27 yd interception return. (Al Sims kick),55,16
17,4,TD,2:04,None Stormblessed 13 yd pass from Scrub Kyubee. (Turk Turkleton kick),55,23
