Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rchon, A.",YKW,1,5,5,0
"Kennedy, E.",YKW,1,5,3,1
"Askins, J.",YKW,1,9,3,0
"Mushing, M.",YKW,1,4,3,0
"Bj̦rnsson, B.",YKW,1,8,0,0
"Gustavsson, E.",YKW,1,5,0,0
"Jarden, G.",YKW,1,5,0,0
"Maddox, R.",YKW,1,15,0,0
"Pooky, S.",YKW,0,0,5,0
"Amper, T.",YKW,0,0,4,1
"Ones, B.",YKW,0,0,1,0
"Marmeladov, V.",PHI,2,10,0,0
"O'Connell, K.",PHI,1,15,3,0
"Tyler, J.",PHI,1,5,2,2
"Cushing, K.",PHI,1,10,0,0
"Davidson, D.",PHI,1,5,0,0
"Hayes, R.",PHI,0,0,8,0
"Filmore, M.",PHI,0,0,7,0
"Van Buren, M.",PHI,0,0,5,1
"Milan, C.",PHI,0,0,4,0
"DiMirio, P.",PHI,0,0,2,0
