Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Ridley, W.",YKW,11,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Shelton, L.",YKW,9,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Tiernan, L.",YKW,9,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Bj̦rnsson, B.",YKW,5,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Lavelle, D.",YKW,5,0,0,0/0,3,1,0,0,"[0, 0, 0]"
"Fitzfatrick, R.",YKW,4,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Floggity, J.",YKW,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Kane, M.",YKW,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Gustavsson, E.",YKW,3,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Hardrool, C.",YKW,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Maddox, R.",YKW,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tucker, P.",PHI,10,0,0,1/0,1,0,0,0,"[0, 0, 0]"
"Kamaka, E.",PHI,9,1,1,1/0,0,0,0,0,"[0, 0, 0]"
"Hackett, A.",PHI,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, M.",PHI,8,0,0,0/1,2,0,0,0,"[0, 0, 0]"
"Washington, L.",PHI,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Jefferson, L.",PHI,5,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Marmeladov, V.",PHI,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Oles, T.",PHI,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ramrio, M.",PHI,4,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Cushing, K.",PHI,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Davidson, D.",PHI,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
