Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Panda, F.",PHI,4,120,30,41,0,4,25
"Vuxta, R.",PHI,4,101,25.2,44,2,4,25
"Chambers, K.",PHI,3,56,18.7,37,2,4,25
"Blocksdale Jr., A.",PHI,3,41,13.7,20,0,4,25
"Torenson, S.",PHI,3,17,5.7,10,0,4,25
"Dotson, F.",PHI,1,7,7,7,0,4,25
"Arrabiata, D.",PHI,1,2,2,2,0,4,25
"Cash Jr., S.",BER,7,104,14.9,31,1,4,25
"Matthews, D.",BER,6,110,18.3,36,1,4,25
"Boyd, C.",BER,6,34,5.7,9,0,4,25
"Petrongolo, J.",BER,3,46,15.3,20,0,4,25
"King, D.",BER,3,13,4.3,6,1,4,25
"Skiuuup, C.",BER,2,15,7.5,12,0,4,25
"Cooper, T.",BER,1,7,7,7,0,4,25
