Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Baldari, F.",SAR,1,5,0,0,6,22
"Dillmiballs, F.",SAR,1,5,0,0,6,22
"Bakhtiari, S.",SAR,0,0,6,1,6,22
"Fifty-One, L.",SAR,0,0,6,0,6,22
"Doe, B.",SAR,0,0,5,0,6,22
"Smith, J.",SAR,0,0,5,0,6,22
"Woakneoa, S.",SAR,0,0,5,0,6,22
"Frost, D.",SAR,0,0,2,0,6,22
"McTaco, P.",SAR,0,0,1,2,6,22
"Blaze, J.",SAR,0,0,1,0,6,22
"Room, W.",NO,1,5,5,0,6,22
"Brew, S.",NO,1,5,2,0,6,22
"Barker, E.",NO,1,5,0,0,6,22
"Blaylock, M.",NO,1,8,0,0,6,22
"Jimbo Jr., D.",NO,1,10,0,0,6,22
"Rubbe, G.",NO,0,0,7,0,6,22
"McCormick, A.",NO,0,0,4,0,6,22
"Ulysses, B.",NO,0,0,3,0,6,22
"Wolfcastle, R.",NO,0,0,2,0,6,22
"Gump, F.",NO,0,0,1,0,6,22
