Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Maddox, E.",BAL,7,141,20.1,41,1,2,17
"Espeeyeeseetee, A.",BAL,7,87,12.4,17,2,2,17
"L'Alto, V.",BAL,5,76,15.2,22,0,2,17
"Nagasawa, Y.",BAL,4,31,7.8,9,1,2,17
"Jimbo, D.",BAL,2,31,15.5,27,0,2,17
"Trevor, C.",BAL,2,25,12.5,14,0,2,17
"Pancakes, P.",BAL,1,1,1,1,0,2,17
"Jones, V.",PHI,6,73,12.2,22,1,2,17
"Brown, M.",PHI,4,41,10.2,18,0,2,17
"von Matt, J.",PHI,4,37,9.2,15,0,2,17
"Varga, N.",PHI,3,31,10.3,13,1,2,17
"Hank, F.",PHI,2,22,11,14,0,2,17
"Hardwick, S.",PHI,1,34,34,34,0,2,17
