,Q,Score Type,Time Remaining,Play,PHI,SJS
1,1,FG,10:53,21 yd FG by Kyle Frost,3,0
2,1,TD,5:37,Nacho Varga 13 yd pass from Adriana Falconi. (Kyle Frost kick),10,0
3,1,FG,1:45,47 yd FG by Neo Donaldson,10,3
5,2,TD,14:15,Vander Jones 23 yd pass from Adriana Falconi. (Kyle Frost kick),17,3
6,2,TD,8:59,Ty Justice 13 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,10
7,2,TD,1:25,Xavier Flash 30 yd pass from Joliet L. Christ. (Neo Donaldson kick),17,17
8,2,FG,0:17,51 yd FG by Kyle Frost,20,17
10,3,TD,7:43,Xavier Flash 28 yd pass from Joliet L. Christ. (Neo Donaldson kick),20,24
11,3,TD,4:39,Vander Jones 17 yd pass from Adriana Falconi. (Kyle Frost kick),27,24
13,4,TD,14:38,Cameron Olsen 6 yd pass from Joliet L. Christ. (Neo Donaldson kick),27,31
14,4,TD,10:37,Vander Jones 20 yd pass from Adriana Falconi. (Kyle Frost kick),34,31
15,4,TD,6:14,Chris Orosz 5 yd pass from Joliet L. Christ. (Neo Donaldson kick),34,38
