Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Dolls, B.",BAL,1,5,6,0,8,22
"Steele, R.",BAL,1,9,6,0,8,22
"Bean, S.",BAL,1,10,0,0,8,22
"Diggler, D.",BAL,0,0,3,0,8,22
"Star, L.",BAL,0,0,3,0,8,22
"Lewandowski, J.",BAL,0,0,1,0,8,22
"Jeremy, R.",BAL,0,0,0,1,8,22
"Beaver-Dantes, E.",AUS,1,10,4,0,8,22
"Fassingit, H.",AUS,1,14,2,0,8,22
"Mendonca, M.",AUS,1,15,2,0,8,22
"Larson, P.",AUS,1,14,1,0,8,22
"Idlewyld, K.",AUS,1,15,0,0,8,22
"Kuusela, G.",AUS,1,5,0,0,8,22
"MacGregor, G.",AUS,1,15,0,0,8,22
"Summers, H.",AUS,1,5,0,0,8,22
"Saurus, B.",AUS,0,0,4,0,8,22
"Saurus, B.",AUS,0,0,4,0,8,22
"Leaf Jr., R.",AUS,0,0,2,0,8,22
"Saurus, A.",AUS,0,0,2,0,8,22
