,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,FG,7:53,27 yd FG by Adam (R) Anderson,0,3
2,1,TD,4:09,Owen Taylor 1 yd run. (Turk Turkleton kick),7,3
3,1,TD,0:00,Seer Zephyrous 1 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),7,10
5,2,TD,11:27,Trey Willie 29 yd pass from Ryan Applehort. (Turk Turkleton kick),14,10
6,2,FG,5:30,36 yd FG by Adam (R) Anderson,14,13
7,2,TD,0:36,Owen Taylor 9 yd run. (Turk Turkleton kick),21,13
9,3,FG,5:24,42 yd FG by Turk Turkleton,24,13
10,3,TD,3:08,Declan Harp 1 yd pass from Ryan Applehort. (Turk Turkleton kick),31,13
11,3,TD,0:13,Jaylon Broxton 2 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),31,20
13,4,TD,6:12,Jaylon Broxton 3 yd pass from Gus T.T. Showbiz. (2pt conversion failed),31,26
14,4,FG,3:46,41 yd FG by Turk Turkleton,34,26
