,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,TD,8:37,Vinny Valentine 20 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,2:35,24 yd FG by Alfredo Crisco,7,3
4,2,TD,11:26,Vinny Valentine 50 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),14,3
5,2,TD,10:18,Johnny Blaze 1 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),21,3
6,2,FG,4:39,47 yd FG by Alex Dasistwirklichseinnachname,24,3
7,2,FG,0:24,28 yd FG by Alfredo Crisco,24,6
9,3,TD,10:39,Dick Wizardry 2 yd run. (Alfredo Crisco XP no good),24,12
10,3,FG,4:02,47 yd FG by Alex Dasistwirklichseinnachname,27,12
12,4,TD,10:59,Apollo Reed 16 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),34,12
13,4,TD,0:31,Rod Tidwell (R) 9 yd pass from Easton Cole (R). (Alfredo Crisco kick),34,19
