,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,FG,10:17,35 yd FG by Turk Turkleton,3,0
2,1,TD,7:18,Devo (R) Cansino 7 yd run. (Peg Leg kick),3,7
4,2,TD,12:20,Owen Taylor 3 yd run. (Turk Turkleton kick),10,7
5,2,TD,8:57,Howard Miller 9 yd pass from Micycle McCormick. (Peg Leg kick),10,14
6,2,TD,4:45,Vinny Valentine 28 yd pass from Ryan Applehort. (Turk Turkleton kick),17,14
8,3,TD,9:34,Dwayne Aaron 5 yd pass from Micycle McCormick. (Peg Leg kick),17,21
9,3,FG,1:36,24 yd FG by Turk Turkleton,20,21
11,4,TD,11:48,Mark Grau 4 yd run. (Peg Leg kick),20,28
12,4,TD,7:09,Dwayne Aaron 10 yd pass from Micycle McCormick. (Peg Leg kick),20,35
13,4,TD,3:23,Trey Willie 23 yd pass from Ryan Applehort. (Turk Turkleton kick),27,35
14,4,FG,1:08,27 yd FG by Peg Leg,27,38
15,4,TD,0:06,Devo (R) Cansino 6 yd run. (Peg Leg kick),27,45
