,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,TD,11:31,Nacho Varga 33 yd pass from Adriana Falconi. (Baxter Frost kick),0,7
2,1,FG,6:59,26 yd FG by ForThe Brand,3,7
3,1,TD,4:58,Sam Torenson 11 yd pass from Adriana Falconi. (Baxter Frost kick),3,14
4,1,TD,3:13,Ludicolo Bigby 1 yd run. (ForThe Brand kick),10,14
5,1,TD,2:58,Lennox Garnett 96 yd kickoff return. (Baxter Frost kick),10,21
7,2,TD,1:31,Errol Maddox 9 yd pass from Corvo Havran. (ForThe Brand kick),17,21
9,3,TD,7:57,Errol Maddox 24 yd pass from Corvo Havran. (ForThe Brand kick),24,21
11,4,TD,14:36,Jake Dropson (R) 9 yd pass from Adriana Falconi. (Baxter Frost kick),24,28
12,4,FG,5:42,46 yd FG by Baxter Frost,24,31
13,4,FG,0:02,26 yd FG by Baxter Frost,24,34
14,4,TD,0:00,Errol Maddox 104 yd kickoff return. (ForThe Brand kick),31,34
