Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Maddox, E.",BAL,7,107,15.3,25,2,4,19
"Espeeyeeseetee, A.",BAL,5,87,17.4,24,0,4,19
"Sauce, E.",BAL,4,30,7.5,16,0,4,19
"Quinn, A.",BAL,2,50,25,30,0,4,19
"L'Alto, V.",BAL,2,23,11.5,13,0,4,19
"Bigby, L.",BAL,1,48,48,48,0,4,19
"Trevor, C.",BAL,1,6,6,6,0,4,19
"Pancakes, P.",BAL,1,0,0,0,0,4,19
"Torenson, S.",PHI,6,54,9,24,0,4,19
"Varga, N.",PHI,5,111,22.2,48,0,4,19
"Dotson, F.",PHI,4,22,5.5,6,0,4,19
"Dropson, J.",PHI,3,30,10,11,1,4,19
"Hank, F.",PHI,3,23,7.7,13,0,4,19
