,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,11:28,37 yd FG by Baxter Frost,3,0
2,1,FG,6:57,29 yd FG by ForThe Brand,3,3
4,2,TD,12:39,Errol Maddox 23 yd pass from Corvo Havran. (ForThe Brand kick),3,10
5,2,FG,8:30,18 yd FG by ForThe Brand,3,13
6,2,FG,3:53,41 yd FG by ForThe Brand,3,16
7,2,TD,1:45,Jake Dropson (R) 11 yd pass from Adriana Falconi. (Baxter Frost kick),10,16
9,3,TD,12:19,Ludicolo Bigby 6 yd run. (ForThe Brand kick),10,23
10,3,TD,4:05,Errol Maddox 4 yd pass from Corvo Havran. (ForThe Brand kick),10,30
12,4,TD,9:08,Ludicolo Bigby 3 yd run. (ForThe Brand kick),10,37
13,4,TD,3:30,Corey Trevor 5 yd run. (ForThe Brand kick),10,44
