,Q,Score Type,Time Remaining,Play,AZ,AUS
1,1,FG,12:03,38 yd FG by Pseudo QB (R),0,3
2,1,FG,8:04,39 yd FG by Pseudo QB (R),0,6
3,1,TD,1:02,Net Gaines 4 yd pass from Easton Cole (C). (Pseudo QB (R) kick),0,13
5,2,TD,6:16,None Videl-San 9 yd pass from Easton Cole (C). (Pseudo QB (R) kick),0,20
6,2,TD,2:24,Heath Evans 3 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),7,20
7,2,FG,0:19,41 yd FG by Pseudo QB (R),7,23
9,3,TD,8:07,Kichwa Jones 1 yd run. (Pseudo QB (R) kick),7,30
11,4,FG,13:51,25 yd FG by J.J. Jay-Jaymison,10,30
12,4,TD,4:09,Eddie Jeeta 1 yd pass from Easton Cole (C). (Pseudo QB (R) kick),10,37
13,4,TD,2:08,Gunner Thorbjornsson (R) 5 yd run. (J.J. Jay-Jaymison kick),17,37
