,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,FG,4:46,38 yd FG by J.J. Jay-Jaymison,3,0
2,1,FG,1:08,23 yd FG by J.J. Jay-Jaymison,6,0
4,2,FG,13:37,26 yd FG by Matthew McDairmid,6,3
5,2,TD,7:30,Nate Swift 10 yd pass from Monterey Jack. (Matthew McDairmid kick),6,10
6,2,FG,2:50,39 yd FG by J.J. Jay-Jaymison,9,10
7,2,FG,0:10,35 yd FG by Matthew McDairmid,9,13
9,3,FG,2:23,24 yd FG by J.J. Jay-Jaymison,12,13
10,3,TD,0:51,Rashad Hilliard (R) 25 yd interception return. (Matthew McDairmid kick),12,20
12,4,TD,6:41,Jamar Lackson 4 yd run. (Matthew McDairmid kick),12,27
13,4,TD,2:58,Thomas Passmann 51 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),19,27
