,Q,Score Type,Time Remaining,Play,COL,CHI
1,1,TD,11:44,Thubba Bumper 1 yd run. (Silver Banana kick),7,0
2,1,TD,5:57,William Lim 33 yd pass from Wolfie McDummy. (Silver Banana kick),14,0
3,1,FG,1:32,45 yd FG by Sam Sidekick,14,3
4,1,TD,1:15,Ashley Owens 108 yd kickoff return. (Silver Banana kick),21,3
6,2,TD,9:00,Baby Yoda 2 yd run. (Sam Sidekick kick),21,10
7,2,TD,8:45,Louisiana Purchase 103 yd kickoff return. (Silver Banana kick),28,10
8,2,FG,0:14,56 yd FG by Sam Sidekick,28,13
10,3,FG,13:37,37 yd FG by Silver Banana,31,13
11,3,FG,0:00,46 yd FG by Silver Banana,34,13
13,4,TD,5:04,Julio Tirtawidjaja 1 yd run. (Sam Sidekick kick),34,20
14,4,TD,0:47,Griff Oberwald 12 yd pass from George O'Donnell. (Sam Sidekick XP no good),34,26
