,Q,Score Type,Time Remaining,Play,SJS,YKW
1,1,FG,6:20,44 yd FG by None Forfeit,0,3
2,1,TD,0:03,Glenn McPoyal 12 yd pass from Mat Akselsen. (None Forfeit kick),0,10
4,2,FG,12:11,46 yd FG by Iyah Blewitt,3,10
5,2,TD,6:40,Robby Rainey 3 yd run. (None Forfeit kick),3,17
6,2,TD,2:32,Eric Kennedy 18 yd pass from Mat Akselsen. (None Forfeit kick),3,24
8,3,TD,10:09,Eric Kennedy 30 yd pass from Mat Akselsen. (None Forfeit kick),3,31
9,3,FG,4:40,29 yd FG by None Forfeit,3,34
10,3,TD,3:54,Borro Gore 1 yd run. (None Forfeit kick),3,41
12,4,TD,10:23,Johnny Rocket 15 yd pass from Mat Akselsen. (None Forfeit kick),3,48
13,4,TD,9:08,Mat Akselsen 2 yd run. (None Forfeit kick),3,55
14,4,TD,2:21,Borro Gore 1 yd run. (None Forfeit kick),3,62
