Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Roenick, A.",BAL,11,0,0,0,0,0,0,0,0,0,0,0,12,12
"Trout, C.",BAL,10,0,1,0,0,0,0,0,0,0,0,0,12,12
"Schneider, D.",BAL,6,0,0,0,0,0,0,0,0,0,0,0,12,12
"Fletcher, G.",BAL,5,0,0,1,0,0,0,0,0,0,0,0,12,12
"Joshua, C.",BAL,4,1,0,0,0,0,0,1,0,0,0,0,12,12
"Mbanefo, K.",BAL,4,1,0,0,0,0,0,0,0,0,0,0,12,12
"Hobbs, J.",BAL,2,0,0,0,0,0,0,0,0,0,0,0,12,12
"Arnold, D.",BAL,2,0,0,0,0,0,0,0,0,0,0,0,12,12
"Oakes, B.",BAL,2,0,0,2,0,0,0,0,0,0,0,0,12,12
"Oats, S.",BAL,2,0,1,0,0,0,0,0,0,0,0,0,12,12
"Wojcik, B.",BAL,2,0,0,0,0,0,0,0,0,0,0,0,12,12
"Dwyer, J.",AZ,10,0,0,1,0,0,0,0,0,0,0,0,12,12
"Earl, B.",AZ,10,0,0,0,0,0,0,0,0,0,0,0,12,12
"Selich, A.",AZ,10,0,1,1,0,0,0,1,1,0,0,0,12,12
"Barnes, B.",AZ,8,0,0,1,0,0,0,0,0,0,0,0,12,12
"Mughes, H.",AZ,6,0,0,0,0,0,0,0,0,0,0,0,12,12
"Morris, D.",AZ,6,0,0,0,0,0,0,0,0,0,0,0,12,12
"Hobbs, S.",AZ,4,0,0,1,1,0,0,0,0,0,0,0,12,12
"David, M.",AZ,3,0,1,0,0,0,0,0,0,0,0,0,12,12
"Reese, A.",AZ,1,0,0,0,0,0,0,0,0,0,0,0,12,12
"Fitzpatrick, K.",AZ,0,0,0,0,0,0,0,0,1,0,0,0,12,12
