,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,TD,7:42,Ashley Owens 3 yd run. (Alfredo Crisco kick),7,0
2,1,FG,4:53,35 yd FG by Alex Dasistwirklichseinnachname,7,3
4,2,TD,14:52,Adrian Pitcher 5 yd run. (Alex Dasistwirklichseinnachname kick),7,10
5,2,TD,7:41,Johnny Blaze 15 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),7,17
6,2,TD,3:54,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),7,24
8,3,FG,8:40,26 yd FG by Alfredo Crisco,10,24
9,3,TD,3:56,Hugh Mongo (R) 7 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname XP no good),10,30
11,4,FG,14:02,40 yd FG by Alfredo Crisco,13,30
12,4,TD,8:44,Johnny Blaze 12 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),13,37
13,4,TD,5:45,Hugh Mongo (R) 4 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname XP no good),13,43
