Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Ernston, H.",ARI,1,5,0,0
"Flock, R.",ARI,1,5,0,0
"Jefferson, L.",ARI,1,5,0,0
"Pest, T.",ARI,0,0,5,0
"Timlin, S.",ARI,0,0,4,2
"Mackworthy, R.",ARI,0,0,3,0
"Thomas, A.",ARI,0,0,3,0
"Jefferspin, S.",ARI,0,0,2,2
"Sharp, B.",ARI,0,0,2,0
"Tkachuk, J.",ARI,0,0,1,0
"Durden, J.",ARI,0,0,0,1
"Bigboy16, Z.",COL,1,10,4,1
"Forthward, B.",COL,1,5,4,0
"Gucci, R.",COL,1,10,3,0
"Hargrove, M.",COL,1,5,2,1
"Marmeladov, V.",COL,1,5,0,0
"McNoodle, M.",COL,1,5,0,0
"Noble, L.",COL,1,10,0,0
"Wozy, F.",COL,1,19,0,0
"Bigboy15, Z.",COL,0,0,4,1
"Rodriguez, B.",COL,0,0,3,1
"Bigboy14, Z.",COL,0,0,1,2
"Tiernan, L.",COL,0,0,1,0
"Tweed, B.",COL,0,0,1,0
