,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,10:38,James Bishop 29 yd pass from Micycle McCormick. (Emilio Ramero kick),7,0
2,1,FG,3:13,37 yd FG by Dean Jackson,7,3
4,2,FG,13:49,37 yd FG by Emilio Ramero,10,3
5,2,TD,11:00,Brock Landers 7 yd pass from Andrew Reese. (Dean Jackson kick),10,10
6,2,TD,10:22,Ricardo Morris 2 yd fumble return. (Dean Jackson kick),10,17
7,2,TD,3:55,Slim Shady 1 yd run. (Dean Jackson kick),10,24
8,2,FG,0:15,45 yd FG by Dean Jackson,10,27
10,3,TD,12:26,Sam Hardwick 8 yd pass from Andrew Reese. (Dean Jackson kick),10,34
11,3,TD,0:32,Ricky Adams 2 yd run. (Dean Jackson kick),10,41
13,4,TD,12:02,Mark Grau 3 yd pass from Micycle McCormick. (Emilio Ramero kick),17,41
14,4,TD,0:43,James Bishop 2 yd pass from Micycle McCormick. (Emilio Ramero kick),24,41
