Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Landers, B.",AZ,5,73,14.6,30,1,2,15
"Adams, R.",AZ,4,66,16.5,46,0,2,15
"Hardwick, S.",AZ,3,54,18,36,1,2,15
"Irving, J.",AZ,2,20,10,11,0,2,15
"Moore, S.",AZ,1,10,10,10,0,2,15
"Hasselhoff, F.",AZ,1,8,8,8,0,2,15
"Rudd, E.",AZ,1,4,4,4,0,2,15
"Crindy, B.",COL,7,49,7,13,0,2,15
"Bishop, J.",COL,6,89,14.8,39,2,2,15
"LaMelllana, S.",COL,6,82,13.7,33,0,2,15
"Grau, M.",COL,4,23,5.8,9,1,2,15
"Taffy, T.",COL,2,11,5.5,8,0,2,15
"North, F.",COL,1,8,8,8,0,2,15
"Cansino, D.",COL,1,3,3,3,0,2,15
