Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rchonsucks, A.",YKW,1,5,2,1
"Mushing, M.",YKW,0,0,9,0
"Amper, T.",YKW,0,0,4,0
"Canton, J.",YKW,0,0,3,0
"Marshall, M.",YKW,0,0,2,1
"Ones, B.",YKW,0,0,1,0
"Pooky, S.",YKW,0,0,1,0
"Cox, P.",COL,1,5,0,0
"Knurtsson, K.",COL,1,5,0,0
"McDummy, W.",COL,1,5,0,0
"Guard, R.",COL,0,0,6,0
"Tackle, R.",COL,0,0,6,0
"Guard, L.",COL,0,0,5,0
"Centre, S.",COL,0,0,4,1
"Tackle, L.",COL,0,0,4,0
"Crindy, B.",COL,0,0,2,0
"Palmer, J.",COL,0,0,1,0
"Taffy, T.",COL,0,0,1,0
