,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,12:41,Bona'beri Jones 26 yd pass from Stan Francisco. (Alex Frost kick),7,0
2,1,TD,10:24,Jerrod Canton 17 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),7,7
3,1,TD,1:49,Forrest Gump 2 yd run. (Alex Frost kick),14,7
5,2,FG,11:18,34 yd FG by Kicky Bobby (R),14,10
6,2,FG,8:21,47 yd FG by Alex Frost,17,10
7,2,FG,0:12,23 yd FG by Kicky Bobby (R),17,13
9,3,FG,9:13,45 yd FG by Kicky Bobby (R),17,16
10,3,FG,2:29,30 yd FG by Kicky Bobby (R),17,19
12,4,TD,10:34,Jerrod Canton 7 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),17,26
13,4,TD,6:13,Tommy Helanen 35 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),17,33
14,4,TD,3:42,Johnny Slothface 24 yd interception return. (2pt conversion good),25,33
