,Q,Score Type,Time Remaining,Play,PHI,OCO
1,1,TD,14:08,Leroy Jenkins 5 yd run. (Al Sims kick),0,7
2,1,TD,11:50,Leroy Jenkins 1 yd run. (Al Sims kick),0,14
3,1,TD,5:36,Erlich Burnsman 1 yd run. (Al Sims kick),0,21
4,1,TD,2:19,Bradley Westfield 25 yd pass from Mike Boss. (Al Sims kick),0,28
6,2,FG,15:00,37 yd FG by Al Sims,0,31
7,2,TD,9:57,Bradley Westfield 8 yd pass from Mike Boss. (Al Sims kick),0,38
8,2,TD,4:53,Omar Wright 3 yd run. (Stephen Harris kick),7,38
9,2,TD,0:49,Erlich Burnsman 3 yd run. (Al Sims kick),7,45
11,3,FG,7:31,28 yd FG by Stephen Harris,10,45
12,3,TD,1:12,Erlich Burnsman 1 yd run. (Al Sims kick),10,52
14,4,FG,3:41,25 yd FG by Al Sims,10,55
