Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Edd, B.",HON,6,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Fields, G.",HON,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Waters, J.",HON,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Jackson, R.",HON,5,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,9,25
"Kackpoo, H.",HON,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Jeffrey, T.",HON,4,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Thornton, B.",HON,4,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Montain, A.",HON,3,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Dawkins, S.",HON,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Rucker, R.",HON,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Ka'ana'ana, B.",HON,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Lavigne, D.",HON,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Blanco, B.",BER,9,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Krause, M.",BER,9,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"McCringleberry, H.",BER,7,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,9,25
"Jones, S.",BER,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Quinn, A.",BER,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,9,25
"Richards, E.",BER,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Miller II, C.",BER,4,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"VonPebbles, M.",BER,3,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,9,25
"Schell, A.",BER,2,0,0,0/0,2,1,0,0,0/0/0,0,0,0,0,9,25
