,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,7:05,Josh Parker 17 yd pass from Ryan Applehort. (None Forfeit kick),7,0
3,2,FG,12:08,25 yd FG by Neo Donaldson,7,3
4,2,TD,7:59,Xavier Flash 5 yd pass from Joliet L. Christ. (Neo Donaldson kick),7,10
5,2,FG,5:10,25 yd FG by Neo Donaldson,7,13
6,2,FG,0:05,23 yd FG by Neo Donaldson,7,16
8,3,FG,10:05,38 yd FG by Neo Donaldson,7,19
9,3,TD,2:29,Dick Wizardry 4 yd run. (None Forfeit kick),14,19
11,4,TD,13:16,Chris Orosz 2 yd run. (Neo Donaldson kick),14,26
12,4,TD,6:25,Chris Orosz 1 yd run. (Neo Donaldson kick),14,33
13,4,FG,0:18,27 yd FG by Neo Donaldson,14,36
