Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Flash, X.",SJS,6,106,17.7,35,1,7,14
"Justice, T.",SJS,4,27,6.8,9,0,7,14
"Oles, K.",SJS,3,76,25.3,40,0,7,14
"Brannigan, Z.",SJS,3,31,10.3,16,0,7,14
"Canton, J.",SJS,2,17,8.5,13,0,7,14
"Bot, B.",SJS,2,10,5,10,0,7,14
"Orosz, C.",SJS,1,9,9,9,0,7,14
"Williams, R.",SJS,1,1,1,1,0,7,14
"Parker, J.",YKW,8,103,12.9,24,1,7,14
"Swift, N.",YKW,4,26,6.5,9,0,7,14
"Helanen, T.",YKW,3,37,12.3,18,0,7,14
"Wizardry, D.",YKW,2,16,8,10,0,7,14
"Pennington, B.",YKW,1,8,8,8,0,7,14
"Carrasco, T.",YKW,1,0,0,0,0,7,14
