Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Blanco, B.",BER,13,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Quinn, A.",BER,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Schell, A.",BER,7,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,6,26
"McCringleberry, H.",BER,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,6,26
"Krause, M.",BER,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Jones, S.",BER,3,0,1,1/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Steel, H.",BER,3,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"VonPebbles, M.",BER,3,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"McMullet, B.",BER,2,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Lenkins, J.",BER,1,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,6,26
"Miller II, C.",BER,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Murder-Moose, M.",COL,9,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,6,26
"Drake, J.",COL,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Smoothie, E.",COL,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"de Pengu, A.",COL,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"McFredbeard, R.",COL,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"FootballLeague, N.",COL,4,1,0,0/0,1,0,0,0,0/0/0,0,0,0,0,6,26
"Edd, B.",COL,3,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Ruschmann, A.",COL,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Blackstone, I.",COL,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Vuxta, R.",COL,2,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,6,26
"Deck, I.",COL,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,6,26
"Purchase, L.",COL,1,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,6,26
"Caliban, M.",COL,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,6,26
