Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Skiuuup, C.",BER,7,40,5.7,11,0,6,26
"Petrongolo, J.",BER,4,89,22.2,30,1,6,26
"Cash Jr., S.",BER,3,124,41.3,56,1,6,26
"Boyd, C.",BER,3,39,13,25,0,6,26
"Matthews, D.",BER,2,26,13,15,0,6,26
"King, D.",BER,1,7,7,7,0,6,26
"Lim, W.",COL,7,114,16.3,36,1,6,26
"Batista, D.",COL,7,58,8.3,12,0,6,26
"Jenkins, L.",COL,4,70,17.5,33,1,6,26
"Williams, D.",COL,3,23,7.7,12,0,6,26
"George, D.",COL,2,9,4.5,6,0,6,26
"Gilbert, R.",COL,1,6,6,6,0,6,26
"Robertoswki, G.",COL,1,5,5,5,0,6,26
