Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Nkiah, J.",SAR,10,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Andrews, H.",SAR,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Clemente, C.",SAR,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Utterstruzen, T.",SAR,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Beat, N.",SAR,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Patterson, P.",SAR,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Mango-Panda, H.",SAR,3,1,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Dillmiballs, F.",SAR,2,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Goku, S.",SAR,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Karpaasi, M.",SAR,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"De Ville, D.",SAR,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Heights, A.",SAR,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Arianlacher, M.",YKW,7,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,7,26
"McJimmerson, D.",YKW,6,0,0,0/0,2,2,0,0,0/0/0,0,0,0,0,7,26
"Foster, D.",YKW,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Hellzapoppin, J.",YKW,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Leonard, M.",YKW,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Valdyr, M.",YKW,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Alexander, N.",YKW,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Quaid, D.",YKW,2,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,26
"Cho, J.",YKW,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
"Money, P.",YKW,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,26
