Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Valentine, V.",BAL,5,63,12.6,27,0,4,15
"L'Alto, V.",BAL,4,64,16,33,0,4,15
"Brown, M.",BAL,4,36,9,12,0,4,15
"Harp, D.",BAL,4,31,7.8,9,1,4,15
"Squanch, V.",BAL,3,50,16.7,24,0,4,15
"Maddox, E.",BAL,2,11,5.5,6,0,4,15
"Zephyrous, S.",OCO,6,19,3.2,7,0,4,15
"Sunnycursed, N.",OCO,4,125,31.2,48,0,4,15
"Blaze, J.",OCO,4,29,7.2,12,0,4,15
"Anoa'i, D.",OCO,4,28,7,10,0,4,15
"McPoyal, G.",OCO,3,24,8,9,0,4,15
"Crush, C.",OCO,2,41,20.5,25,0,4,15
"Reed, A.",OCO,1,0,0,0,0,4,15
