Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Ridley, W.",YKW,9,0,0,0,0,0,0,0,0,0,0,0,8,7
"Tweed, B.",YKW,8,1,2,0,0,0,0,0,0,0,0,0,8,7
"Lavelle, D.",YKW,7,0,0,1,0,0,0,0,0,0,0,0,8,7
"Taylor, C.",YKW,7,0,1,0,0,0,0,0,0,0,0,0,8,7
"Carter, P.",YKW,6,0,0,0,0,0,0,0,0,0,0,0,8,7
"Kane, M.",YKW,6,0,0,0,0,0,0,0,0,0,0,0,8,7
"Hardrool, C.",YKW,4,0,0,1,1,0,0,0,0,0,0,0,8,7
"Medved, E.",YKW,4,0,1,0,0,0,0,0,0,0,0,0,8,7
"Tiernan, L.",YKW,2,1,1,0,0,0,0,0,0,0,0,0,8,7
"Tuck, J.",YKW,2,0,1,0,0,0,0,0,0,0,0,0,8,7
"Maddox, R.",YKW,1,0,0,0,0,0,0,0,0,0,0,0,8,7
"Ones, B.",YKW,0,0,0,0,0,0,0,0,1,0,0,0,8,7
"Davis, A.",AZ,7,0,0,0,0,0,0,0,0,0,0,0,8,7
"Hackett, A.",AZ,5,2,0,1,0,0,0,0,0,0,0,0,8,7
"Asipi Jr., A.",AZ,4,1,0,0,0,0,0,0,0,0,0,0,8,7
"Ernston, H.",AZ,4,0,1,0,0,0,0,0,0,0,0,0,8,7
"Hayden, A.",AZ,4,0,0,0,0,0,0,0,0,0,0,0,8,7
"Ramrio, M.",AZ,4,0,0,0,0,0,0,1,0,0,0,0,8,7
"Stone, W.",AZ,4,0,0,1,1,0,0,0,0,0,0,0,8,7
"Waiters, A.",AZ,4,1,0,0,0,0,0,0,0,0,0,0,8,7
"Dwyer, J.",AZ,3,0,0,0,0,0,0,0,0,0,0,0,8,7
"Floggity, J.",AZ,3,0,0,1,0,0,0,0,0,0,0,0,8,7
"Morris, D.",AZ,3,0,1,2,2,0,0,0,0,0,0,0,8,7
