,Q,Score Type,Time Remaining,Play,OCO,CHI
1,1,TD,12:05,Hugh Mongo 32 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,6:50,Sean O'Leary 26 yd pass from Rose Jenkins. (Sam Sidekick (R) kick),7,7
3,1,FG,1:04,27 yd FG by Alex Dasistwirklichseinnachname,10,7
5,2,TD,6:38,Farley Hank 16 yd pass from Rose Jenkins. (Sam Sidekick (R) XP no good),10,13
6,2,FG,0:05,18 yd FG by Alex Dasistwirklichseinnachname,13,13
8,3,TD,6:12,Jeffrey Phillips (R) 8 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),20,13
9,3,TD,4:18,Future Trunks 7 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),27,13
10,3,FG,0:45,38 yd FG by Alex Dasistwirklichseinnachname,30,13
12,4,TD,10:35,Julio Tirtawidjaja (R) 3 yd run. (Sam Sidekick (R) kick),30,20
13,4,FG,4:19,25 yd FG by Alex Dasistwirklichseinnachname,33,20
14,4,FG,1:42,45 yd FG by Alex Dasistwirklichseinnachname,36,20
