Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Fyodorovich, V.",NO,6,77,12.8,21,0,12,15
"Swift, T.",NO,4,36,9,13,1,12,15
"Francisco, S.",NO,3,18,6,10,0,12,15
"Jones, B.",NO,2,20,10,11,1,12,15
"Halvorsen, T.",NO,2,18,9,10,0,12,15
"Danielsson, A.",NO,2,15,7.5,8,0,12,15
"Rosario, L.",NO,1,3,3,3,0,12,15
"Adams, R.",AZ,4,61,15.2,34,0,12,15
"Hardwick, S.",AZ,4,57,14.2,21,0,12,15
"Landers, B.",AZ,3,51,17,29,1,12,15
"Shady, S.",AZ,3,8,2.7,5,0,12,15
"Irving, J.",AZ,2,21,10.5,13,0,12,15
"Hasselhoff, F.",AZ,1,10,10,10,0,12,15
"Moore, S.",AZ,1,5,5,5,0,12,15
"Rudd, E.",AZ,1,3,3,3,0,12,15
