,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,FG,10:42,27 yd FG by Bradley Madlad,0,3
2,1,FG,7:57,44 yd FG by Joseph Lombardi,3,3
3,1,TD,2:39,Jordan Yates 1 yd pass from Mike Boss. (Bradley Madlad kick),3,10
5,2,FG,14:35,29 yd FG by Joseph Lombardi,6,10
6,2,FG,11:51,23 yd FG by Bradley Madlad,6,13
7,2,FG,0:57,33 yd FG by Bradley Madlad,6,16
8,2,FG,0:28,35 yd FG by Bradley Madlad,6,19
10,3,TD,3:05,Erlich Burnsman 1 yd run. (Bradley Madlad kick),6,26
12,4,FG,6:17,22 yd FG by Joseph Lombardi,9,26
13,4,TD,2:00,Eric Kennedy 5 yd pass from Mat Akselsen. (Joseph Lombardi XP no good),15,26
