,Q,Score Type,Time Remaining,Play,PHI,NY
1,1,TD,2:44,Randy Vuxta 2 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),7,0
3,2,TD,14:47,Ashley Owens 8 yd run. (Dougie Smalls kick),7,7
4,2,FG,11:01,32 yd FG by Jake Fencik (R),10,7
5,2,TD,5:24,Jackson Kingston 22 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),10,14
6,2,FG,4:28,45 yd FG by Jake Fencik (R),13,14
7,2,FG,0:15,38 yd FG by Jake Fencik (R),16,14
9,3,TD,5:10,Killian Chambers (R) 12 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),23,14
11,4,FG,14:02,18 yd FG by Jake Fencik (R),26,14
12,4,TD,10:45,Jackson Kingston 12 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),26,21
13,4,TD,4:27,Randy Vuxta 14 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),33,21
14,4,TD,0:30,Sean Snyder (R) 4 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),33,28
