,Q,Score Type,Time Remaining,Play,COL,NO
1,1,TD,8:56,Dustin Evans 6 yd pass from Borkus Maximus III. (Peg Leg kick),0,7
2,1,TD,3:04,Charlie Law 6 yd pass from Borkus Maximus III. (Peg Leg kick),0,14
4,2,FG,14:01,27 yd FG by Micycle McCormick,3,14
5,2,TD,10:42,Dwayne Aaron 13 yd pass from Ryan Applehort. (Micycle McCormick kick),10,14
6,2,TD,7:03,Dustin Evans 6 yd pass from Borkus Maximus III. (Peg Leg kick),10,21
7,2,TD,2:21,Dustin Evans 34 yd pass from Borkus Maximus III. (Peg Leg kick),10,28
8,2,FG,0:26,50 yd FG by Micycle McCormick,13,28
10,3,FG,7:11,25 yd FG by Peg Leg,13,31
12,4,FG,13:18,47 yd FG by Micycle McCormick,16,31
13,4,TD,8:17,Darren Smallwood 3 yd run. (Peg Leg kick),16,38
14,4,FG,4:42,24 yd FG by Micycle McCormick,19,38
