Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Armstrong, L.",NO,1,5,4,0,7,8
"Ory, K.",NO,1,5,3,0,7,8
"Evans, D.",NO,1,10,0,0,7,8
"Bolden, B.",NO,0,0,9,0,7,8
"Roll, J.",NO,0,0,6,0,7,8
"Ruffins, K.",NO,0,0,3,0,7,8
"Savea, A.",NO,0,0,3,0,7,8
"Nuck, B.",NO,0,0,1,0,7,8
"Ramero, R.",COL,1,5,0,0,7,8
"Aaron, D.",COL,1,5,0,0,7,8
"Wheat, B.",COL,1,5,0,0,7,8
"Knuckler, B.",COL,0,0,11,0,7,8
"Vibrations, F.",COL,0,0,6,1,7,8
"Bastard, F.",COL,0,0,6,0,7,8
"Windchesthair, A.",COL,0,0,5,0,7,8
"Down, D.",COL,0,0,3,0,7,8
"O'Sullivan, S.",COL,0,0,2,1,7,8
"Grau, M.",COL,0,0,1,0,7,8
