,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,12:48,45 yd FG by Peg Leg,3,0
2,1,TD,8:17,Owen Taylor 3 yd run. (Turk Turkleton kick),3,7
3,1,TD,2:18,Declan Harp 3 yd pass from Ryan Applehort. (Turk Turkleton kick),3,14
5,2,FG,13:33,24 yd FG by Peg Leg,6,14
6,2,TD,9:40,Owen Taylor 4 yd pass from Ryan Applehort. (Turk Turkleton kick),6,21
7,2,FG,3:45,42 yd FG by Turk Turkleton,6,24
9,3,TD,7:23,Ryan Applehort 2 yd run. (Turk Turkleton kick),6,31
11,4,TD,14:46,Owen Taylor 3 yd run. (Turk Turkleton kick),6,38
12,4,TD,7:07,Verso L'Alto 10 yd pass from Ryan Applehort. (Turk Turkleton kick),6,45
13,4,TD,4:17,Dwayne Aaron 20 yd pass from Micycle McCormick. (Peg Leg kick),13,45
