Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"A'Barelyanything, L.",AUS,1,15,3,0
"Fassingit, H.",AUS,1,5,0,0
"Beaver-Dantes, E.",AUS,0,0,5,1
"A'Little, L.",AUS,0,0,3,2
"A'Moderateamount, L.",AUS,0,0,3,0
"A'Ton, L.",AUS,0,0,3,0
"Larson, P.",AUS,0,0,2,0
"Blockit, I.",AUS,0,0,1,0
"Ulysses, B.",NO,2,15,4,0
"McCormick, A.",NO,1,5,2,0
"Blaylock, M.",NO,1,15,0,0
"Podolak, J.",NO,1,5,0,0
"Rubbe, G.",NO,0,0,7,0
"Room, W.",NO,0,0,4,1
"Brew, S.",NO,0,0,4,0
"Ofyourlove, S.",NO,0,0,2,0
"Gump, F.",NO,0,0,1,0
"Toriki, M.",NO,0,0,1,0
