Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Valentine, V.",NO,8,92,11.5,23,0,13,19
"Jones, B.",NO,6,109,18.2,33,0,13,19
"Gump, F.",NO,5,12,2.4,11,0,13,19
"McCormick, A.",NO,4,61,15.2,25,0,13,19
"Fyodorovich, V.",NO,2,40,20,24,1,13,19
"Rodriguez, B.",NO,2,21,10.5,11,0,13,19
"Toriki, M.",NO,1,2,2,2,1,13,19
"Espeeyeeseetee, A.",BAL,5,126,25.2,38,0,13,19
"Bigby, L.",BAL,5,47,9.4,16,0,13,19
"Sauce, E.",BAL,5,32,6.4,8,0,13,19
"Quinn, A.",BAL,4,65,16.2,36,1,13,19
"Maddox, E.",BAL,2,26,13,21,1,13,19
"L'Alto, V.",BAL,1,10,10,10,0,13,19
