,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,TD,13:35,Vladimir Fyodorovich 16 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),0,7
2,1,FG,7:18,40 yd FG by Herbert Prohaska (R),0,10
3,1,FG,0:55,37 yd FG by ForThe Brand,3,10
5,2,TD,8:32,Marcella Toriki 2 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),3,17
6,2,TD,6:48,Forrest Gump 12 yd run. (Herbert Prohaska (R) kick),3,24
7,2,TD,1:36,Errol Maddox 5 yd pass from Corvo Havran. (ForThe Brand kick),10,24
9,3,TD,8:46,Asher Quinn (R) 36 yd pass from Corvo Havran. (ForThe Brand kick),17,24
10,3,FG,2:03,39 yd FG by ForThe Brand,20,24
12,4,FG,13:21,36 yd FG by Herbert Prohaska (R),20,27
13,4,FG,2:51,19 yd FG by Herbert Prohaska (R),20,30
