,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,TD,12:01,Trey Willie 40 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
2,1,TD,11:42,Josh Garden 103 yd kickoff return. (Beat Meoff kick),7,7
3,1,TD,7:46,Owen Taylor 18 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,14
4,1,TD,2:34,Owen Taylor 5 yd run. (Turk Turkleton kick),7,21
5,1,TD,0:54,Owen Taylor 1 yd run. (Turk Turkleton kick),7,28
7,2,TD,7:48,Budda Browning 32 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,35
8,2,TD,2:03,Owen Taylor 1 yd run. (Turk Turkleton kick),7,42
9,2,FG,0:28,48 yd FG by Turk Turkleton,7,45
11,3,FG,12:52,35 yd FG by Turk Turkleton,7,48
12,3,TD,10:08,Owen Taylor 1 yd run. (Turk Turkleton kick),7,55
13,3,TD,3:04,Verso L'Alto 6 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,62
15,4,FG,12:03,44 yd FG by Turk Turkleton,7,65
16,4,FG,7:29,44 yd FG by Turk Turkleton,7,68
