,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,TD,10:03,Action Jackson 11 yd pass from Stan Francisco. (Alex Frost kick),0,7
2,1,TD,4:52,Vladimir Fyodorovich 16 yd pass from Stan Francisco. (Alex Frost kick),0,14
4,2,TD,11:36,Forrest Gump 3 yd run. (Alex Frost kick),0,21
5,2,FG,6:29,43 yd FG by Alex Frost,0,24
6,2,TD,0:24,Nacho Varga 12 yd pass from Adriana Falconi. (Baxter Frost (R) kick),7,24
8,3,SF,13:08,Adriana Falconi tackled for a safety.,7,26
9,3,TD,10:32,Bona'beri Jones 33 yd pass from Stan Francisco. (Alex Frost kick),7,33
10,3,TD,4:41,Farley Hank 6 yd pass from Adriana Falconi. (Baxter Frost (R) kick),14,33
12,4,FG,9:15,43 yd FG by Alex Frost,14,36
13,4,TD,3:56,Sam Torenson 7 yd run. (Baxter Frost (R) kick),21,36
