,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,FG,7:45,44 yd FG by None Forfeit,3,0
2,1,TD,4:34,Glenn McPoyal 9 yd pass from Mat Akselsen. (None Forfeit kick),10,0
3,1,TD,0:00,Owen Taylor 1 yd run. (Turk Turkleton kick),10,7
5,2,TD,9:59,Bailey Cook 71 yd punt return. (None Forfeit XP no good),16,7
6,2,TD,4:25,Trey Willie 52 yd pass from Avon Blocksdale. (Turk Turkleton kick),16,14
7,2,FG,3:02,56 yd FG by None Forfeit,19,14
9,3,TD,8:08,Verso L'Alto 11 yd pass from Avon Blocksdale. (Turk Turkleton kick),19,21
10,3,TD,4:31,Owen Taylor 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),19,28
11,3,TD,1:35,Bailey Cook 24 yd pass from Mat Akselsen. (None Forfeit kick),26,28
13,4,TD,8:00,Mat Akselsen 1 yd run. (None Forfeit XP no good),32,28
