Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Lewandowski, J.",BAL,5,96,19.2,40,0,3,24
"Kaepercolin, N.",BAL,5,65,13,31,1,3,24
"Quinn, A.",BAL,4,34,8.5,10,0,3,24
"Skuff, R.",BAL,3,24,8,11,0,3,24
"Kross, C.",BAL,2,29,14.5,16,0,3,24
"Williams, D.",BAL,2,17,8.5,9,0,3,24
"Fukushu, M.",BAL,1,0,0,0,0,3,24
"Blocksdale Jr., A.",PHI,5,42,8.4,12,0,3,24
"Panda, F.",PHI,4,93,23.2,53,0,3,24
"Vuxta, R.",PHI,4,64,16,21,0,3,24
"Varga, N.",PHI,3,70,23.3,35,1,3,24
"Arrabiata, D.",PHI,2,21,10.5,12,0,3,24
"Dotson, F.",PHI,1,6,6,6,0,3,24
