,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,7:20,30 yd FG by Datsum PhastBawl (R),0,3
3,2,TD,14:04,Nick Kaepercolin 9 yd pass from Chika Fujiwara. (Datsum PhastBawl (R) kick),0,10
4,2,TD,10:58,Fuzzy Dotson 4 yd run. (Karmichael Hunt (R) XP no good),6,10
5,2,FG,2:30,36 yd FG by Datsum PhastBawl (R),6,13
7,3,TD,9:24,Nacho Varga 9 yd pass from Brock Phoenix. (Karmichael Hunt (R) kick),13,13
8,3,TD,6:45,Sam Torenson 1 yd run. (Karmichael Hunt (R) kick),20,13
9,3,TD,2:22,Darrel Williams 3 yd run. (Datsum PhastBawl (R) kick),20,20
11,4,TD,6:22,Darrel Williams 4 yd run. (Datsum PhastBawl (R) kick),20,27
12,4,TD,5:08,Mai Fukushu (R) 1 yd run. (Datsum PhastBawl (R) kick),20,34
13,4,FG,1:23,35 yd FG by Datsum PhastBawl (R),20,37
