Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Valentine, V.",BAL,6,111,18.5,39,0,7,12
"Harp, D.",BAL,6,32,5.3,12,0,7,12
"L'Alto, V.",BAL,5,42,8.4,20,0,7,12
"Nagasawa, Y.",BAL,4,49,12.2,24,0,7,12
"Maddox, E.",BAL,2,37,18.5,29,0,7,12
"Summer, A.",BAL,1,20,20,20,1,7,12
"Taylor, O.",BAL,1,4,4,4,0,7,12
"Gore, B.",NO,9,41,4.6,13,0,7,12
"DiMirio, P.",NO,8,85,10.6,32,1,7,12
"Fyodorovich, V.",NO,6,104,17.3,34,0,7,12
"Storm, B.",NO,5,70,14,20,0,7,12
"Halvorsen, T.",NO,4,45,11.2,14,0,7,12
"Yobanna-Kanayochukwu, C.",NO,2,17,8.5,11,0,7,12
