,Q,Score Type,Time Remaining,Play,NO,COL
1,1,FG,10:18,24 yd FG by Herbert Prohaska,3,0
2,1,FG,5:55,27 yd FG by Silver Banana,3,3
4,2,TD,7:25,Ed Barker 1 yd pass from Ben Slothisberger (R). (Herbert Prohaska kick),10,3
5,2,FG,0:13,48 yd FG by Silver Banana,10,6
7,3,TD,11:44,Ashley Owens 10 yd run. (Silver Banana kick),10,13
8,3,FG,6:32,41 yd FG by Herbert Prohaska,13,13
9,3,FG,3:24,19 yd FG by Silver Banana,13,16
11,4,TD,12:55,Sean Snyder (R) 2 yd pass from Ben Slothisberger (R). (Herbert Prohaska kick),20,16
12,4,TD,4:48,Wolfie McDummy 2 yd run. (Silver Banana kick),20,23
13,4,FG,2:06,31 yd FG by Silver Banana,20,26
