,Q,Score Type,Time Remaining,Play,PHI,AZ
1,1,FG,11:40,26 yd FG by Dean Jackson,0,3
2,1,TD,3:26,Budda Browning 19 yd pass from King Bronko. (Dean Jackson kick),0,10
4,2,FG,10:44,25 yd FG by Stephen Harris,3,10
5,2,SF,9:14,Reg Mackworthy tackled for a safety.,5,10
6,2,FG,0:11,56 yd FG by Stephen Harris,8,10
8,3,TD,11:54,Reg Mackworthy 32 yd run. (Dean Jackson kick),8,17
9,3,TD,9:22,Paul DiMirio 6 yd pass from Tyler Oles. (Stephen Harris kick),15,17
10,3,TD,5:04,Budda Browning 9 yd pass from King Bronko. (Dean Jackson kick),15,24
11,3,FG,0:25,17 yd FG by Stephen Harris,18,24
13,4,TD,11:54,Carter Bush 6 yd pass from Tyler Oles. (Stephen Harris kick),25,24
