,Q,Score Type,Time Remaining,Play,COL,OCO
1,1,TD,10:28,James Bishop 9 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),7,0
2,1,TD,2:39,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),7,7
4,2,TD,13:02,Terry Taffy 5 yd run. (Stephen Harris Jr kick),14,7
5,2,TD,8:04,Apollo Reed 3 yd run. (Alex Dasistwirklichseinnachname kick),14,14
6,2,FG,0:25,46 yd FG by Stephen Harris Jr,17,14
8,3,TD,5:01,Hugh Mongo 9 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),17,21
10,4,TD,11:25,Charles Allan (R) 10 yd run. (Alex Dasistwirklichseinnachname kick),17,28
11,4,FG,6:58,41 yd FG by Alex Dasistwirklichseinnachname,17,31
12,4,FG,2:34,45 yd FG by Alex Dasistwirklichseinnachname,17,34
13,4,TD,0:00,Laszlo Forty-Two 27 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),24,34
