,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,TD,7:51,Charlie Law 5 yd pass from King Bronko. (Dean Jackson kick),0,7
2,1,TD,1:15,Budda Browning 6 yd pass from King Bronko. (Dean Jackson kick),0,14
3,1,TD,0:58,Bailey Cook 96 yd kickoff return. (None Forfeit kick),7,14
5,2,FG,9:05,46 yd FG by Dean Jackson,7,17
6,2,TD,0:55,Bailey Cook 3 yd pass from Mat Akselsen. (None Forfeit kick),14,17
8,3,TD,7:13,Mat Akselsen 1 yd run. (None Forfeit kick),21,17
9,3,FG,3:43,35 yd FG by Dean Jackson,21,20
10,3,TD,2:44,Jogn Floggity 36 yd interception return. (Dean Jackson kick),21,27
12,4,TD,13:05,Eric Kennedy 1 yd run. (None Forfeit kick),28,27
13,4,TD,2:55,Mat Akselsen 53 yd run. (None Forfeit kick),35,27
14,4,TD,0:02,Charlie Law 12 yd pass from King Bronko. (2pt conversion good),35,35
16,5,TD,10:24,Arbin Asipi Jr. 4 yd pass from King Bronko.,35,41
