Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Garrad, S.",COL,1,6,0,0
"Miller, H.",COL,1,10,0,0
"Pierno, N.",COL,1,5,0,0
"Tackle, L.",COL,0,0,6,0
"Guard, L.",COL,0,0,5,0
"Tackle, R.",COL,0,0,4,0
"Grau, M.",COL,0,0,3,0
"Centre, S.",COL,0,0,2,0
"Guard, R.",COL,0,0,2,0
"Wizardry, D.",YKW,1,10,5,0
"Mushing, M.",YKW,1,10,3,0
"Ones, B.",YKW,1,10,3,0
"Verden, J.",YKW,1,5,0,0
"Chambers III, C.",YKW,1,5,0,0
"Pooky, S.",YKW,0,0,5,0
"Amper, T.",YKW,0,0,4,0
"Rchon, A.",YKW,0,0,4,0
"McPoyal, G.",YKW,0,0,1,0
"Pitcher, A.",YKW,0,0,1,0
