,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,TD,7:25,Dick (R) Wizardry 1 yd run. (None Forfeit kick),7,0
2,1,FG,0:03,31 yd FG by None Forfeit,10,0
4,2,TD,10:55,Howard Miller 5 yd pass from Micycle McCormick. (Peg Leg kick),10,7
5,2,TD,6:16,Glenn McPoyal 7 yd pass from Ryan Applehort. (None Forfeit kick),17,7
6,2,TD,0:39,Desta Danger 88 yd punt return. (Peg Leg kick),17,14
8,3,TD,6:20,Budda Browning 17 yd pass from Ryan Applehort. (None Forfeit kick),24,14
9,3,FG,2:56,39 yd FG by Peg Leg,24,17
11,4,FG,12:15,25 yd FG by None Forfeit,27,17
12,4,TD,7:36,Devo Cansino 3 yd run. (Peg Leg kick),27,24
13,4,TD,2:31,James (R) Bishop 7 yd pass from Micycle McCormick. (Peg Leg kick),27,31
