Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Miller, H.",COL,6,107,17.8,34,1,14,12
"Bishop, J.",COL,6,55,9.2,16,1,14,12
"Chipmunk, A.",COL,2,20,10,16,0,14,12
"Grau, M.",COL,2,19,9.5,10,0,14,12
"Wachter, J.",COL,2,18,9,12,0,14,12
"Cansino, D.",COL,1,10,10,10,0,14,12
"Wright, R.",COL,1,4,4,4,0,14,12
"Pennington, B.",YKW,7,113,16.1,24,0,14,12
"Parker, J.",YKW,4,72,18,33,0,14,12
"Browning, B.",YKW,4,60,15,17,1,14,12
"McPoyal, G.",YKW,4,37,9.2,14,1,14,12
"Pitcher, A.",YKW,4,23,5.8,10,0,14,12
"Wizardry, D.",YKW,2,11,5.5,7,0,14,12
