Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Stone, W.",NO,12,1,0,0,0,0,0,0,0,0,0,0,4,6
"Oakes, B.",NO,10,0,1,1,1,0,0,0,0,0,0,0,4,6
"Mills, B.",NO,8,1,0,0,0,0,0,0,0,0,0,0,4,6
"Verns, D.",NO,7,0,0,0,0,0,0,0,0,0,0,0,4,6
"Washington, L.",NO,7,1,0,1,1,0,0,0,0,0,0,0,4,6
"Cox, J.",NO,5,1,0,0,0,0,0,0,0,0,0,0,4,6
"Kronen, R.",NO,5,0,0,0,0,0,0,0,0,0,0,0,4,6
"Andres, J.",NO,3,2,0,0,0,0,0,0,0,0,0,0,4,6
"Tomlinson, A.",NO,3,0,1,0,0,0,0,0,0,0,0,0,4,6
"Askins, J.",NO,2,0,0,0,0,0,0,0,0,0,0,0,4,6
"Brister, T.",NO,2,0,0,1,0,0,0,0,0,0,0,0,4,6
"Armstrong, L.",NO,1,0,0,2,0,0,0,0,0,0,0,0,4,6
"Maddox, S.",NO,1,0,0,0,0,0,0,0,0,0,0,0,4,6
"Tomatonose, P.",NO,0,0,0,0,0,0,0,0,0,0,0,0,4,6
"Tiernan, L.",YKW,12,0,0,2,0,0,0,0,0,0,0,0,4,6
"Ridley, W.",YKW,9,0,0,1,0,0,0,0,0,0,0,0,4,6
"Kane, M.",YKW,8,1,0,0,0,0,0,0,0,0,0,0,4,6
"Medved, E.",YKW,8,0,1,0,0,0,0,0,0,0,0,0,4,6
"Carter, P.",YKW,6,0,0,0,0,0,0,0,0,0,0,0,4,6
"Hardrool, C.",YKW,6,0,0,0,0,0,0,0,0,0,0,0,4,6
"Taylor, C.",YKW,6,0,0,1,1,0,0,0,0,0,0,0,4,6
"Wozy, F.",YKW,5,0,0,0,0,0,0,0,0,0,0,0,4,6
"Maddox, R.",YKW,4,0,1,0,0,0,0,0,0,0,0,0,4,6
"Lavelle, D.",YKW,2,0,0,1,0,0,0,0,0,0,0,0,4,6
"Tuck, J.",YKW,2,0,0,0,0,0,0,0,0,0,0,0,4,6
"Shelton, L.",YKW,1,0,0,0,0,0,0,0,0,0,0,0,4,6
