,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,FG,11:35,45 yd FG by None Forfeit,3,0
2,1,TD,11:05,Eric Kennedy 1 yd run. (None Forfeit kick),10,0
3,1,FG,6:22,18 yd FG by Joseph Lombardi,10,3
5,2,TD,10:03,Ardie Savea 4 yd run. (Joseph Lombardi kick),10,10
6,2,TD,6:22,Dustin Evans 24 yd pass from Borkus Maximus III. (Joseph Lombardi kick),10,17
7,2,FG,0:05,47 yd FG by None Forfeit,13,17
9,3,TD,9:37,Kenny Omega 8 yd pass from Borkus Maximus III. (Joseph Lombardi kick),13,24
10,3,TD,3:47,Bailey Cook 14 yd pass from Mat Akselsen. (None Forfeit kick),20,24
12,4,TD,11:51,Mat Akselsen 1 yd run. (None Forfeit kick),27,24
13,4,FG,2:50,18 yd FG by Joseph Lombardi,27,27
