,Q,Score Type,Time Remaining,Play,SJS,PHI
1,1,FG,9:44,24 yd FG by Iyah Blewitt,3,0
2,1,TD,7:01,Josh Garden 9 yd pass from Tyler Oles. (Stephen Harris kick),3,7
3,1,FG,2:51,33 yd FG by Stephen Harris,3,10
5,2,TD,14:40,Fox North 4 yd pass from Tyler Oles. (Stephen Harris kick),3,17
6,2,FG,12:13,36 yd FG by Iyah Blewitt,6,17
7,2,TD,10:00,Carter Bush 2 yd run. (Stephen Harris kick),6,24
8,2,FG,3:41,38 yd FG by Stephen Harris,6,27
10,3,TD,11:07,Denzel Diaz 1 yd run. (Iyah Blewitt kick),13,27
11,3,TD,7:02,Paul DiMirio 13 yd pass from Tyler Oles. (Stephen Harris kick),13,34
12,3,TD,2:32,Kendrick Hendrix 1 yd pass from Tyler Oles. (Stephen Harris kick),13,41
14,4,FG,6:59,25 yd FG by Stephen Harris,13,44
